,Name,Identity,Birth place,Publisher,Height,Weight,Gender,First appearance,Eye color,Hair color,Strength,Intelligence,Latitude,Longitude
26,Adam Strange,Adam Strange,"Chicago, Illinois",DC Comics,185.1,88.92,M,1986.0,Blue,Blond,10.0,good,41.8755616,-87.6244212
61,Vixen,Mari McCabe,Zambesi,DC Comics,175.71,63.57,F,1981.0,Amber,Black,40.0,average,-16.9624983,27.8293245
114,Starfire,Koriand'r,Tamaran,DC Comics,193.77,71.78,F,1980.0,Green,Auburn,80.0,average,3.882499,98.4339872
116,Steel,John Irons,"Washington, D.C.",DC Comics,201.58,131.13,M,1993.0,Brown,No Hair,85.0,high,38.8950092,-77.0365625
142,Solomon Grundy,Cyrus Gold,Gotham City,DC Comics,279.22,437.61,M,1944.0,Black,White,95.0,low,32.7579739,-97.0669292
157,Shazam,Billy Batson,"Fawcett City, United States",DC Comics,193.74,101.3,M,1940.0,Blue,Black,100.0,high,38.8670162,-83.4051894
198,Red Robin,Tim Drake,Gotham City,DC Comics,165.39,56.35,M,1989.0,Blue,Black,15.0,high,32.7579739,-97.0669292
218,Ra's Al Ghul,Ra's Al Ghul,Egypt,DC Comics,193.06,97.76,M,1971.0,Green,Grey,30.0,high,26.2540493,29.2675469
300,Miss Martian,M'gann M'orzz,Mars,DC Comics,178.49,61.25,F,2006.0,Red,Red,85.0,good,44.0032084,3.54832561044614
510,Etrigan,Jason Blood,Hell,DC Comics,193.76,203.5,M,1972.0,Red,No Hair,85.0,average,63.445531,10.9032872
521,Doomsday,Doomsday,Krypton,DC Comics,244.01,412.67,M,1992.0,Red,White,100.0,good,37.3112042,-83.3393462
561,Cyborg,Victor Stone,"New York City, New York",DC Comics,198.12,173.81,M,1980.0,Brown,Black,55.0,good,40.7127281,-74.0060152
632,Blue Beetle II,Theodore Kord,"Chicago, Illinois",DC Comics,183.85,86.89,M,1966.0,Blue,Brown,50.0,high,41.8755616,-87.6244212
714,Aquaman,Orin,Atlantis,DC Comics,185.71,146.96,M,1941.0,Blue,Blond,85.0,high,26.5909025,-80.1008762
730,Alan Scott,Alan Ladd Wellington Scott,Gotham City,DC Comics,180.98,90.81,M,1940.0,Blue,Blond,80.0,good,32.7579739,-97.0669292
